"","Salamander_ID","Pond","Sample_ID","Year","Sample_ID_Year","Date_Sample_GF","Boat_Net","log_Boat_Net"
"63","982000167211706","8",64,"2022","07_2022",2022-07-11,92.1000000000003,4.53367418428302
"64","982091066167345","8",58,"2022","01_2022",2022-07-11,38.5,3.67630067190708
"65","900118000002846","8",65,"2022","08_2022",2022-07-11,15.1999999999999,2.78501124223833
"66","982000167212133","8",59,"2022","02_2022",2022-07-11,15.4999999999998,2.80336038090653
"67","982000365434928","8",66,"2022","09_2022",2022-07-11,26.3,3.30688670219091
"68","982091066165094","8",73,"2022","16_2022",2022-07-11,65.2999999999999,4.19418989719182
"69","982000167193199","8",67,"2022","10_2022",2022-07-11,8.69999999999993,2.27212588550933
"70","985170002017106","8",74,"2022","17_2022",2022-07-11,91.9999999999999,4.53259949315325
"71","900118000002813","8",68,"2022","11_2022",2022-07-11,29.8,3.42751468997953
"72","982091066167332","8",75,"2022","18_2022",2022-07-11,38.0999999999998,3.66612246699132
"73","982000167194693","8",69,"2022","12_2022",2022-07-11,84.0000000000001,4.44265125649032
"74","985170001800545","8",76,"2022","19_2022",2022-07-11,51.7,3.96461545554732
"75","982000167194011","8",70,"2022","13_2022",2022-07-11,22.1,3.13983261752775
"76","982091066167290","8",77,"2022","20_2022",2022-07-11,21.6000000000001,3.11794990627824
"77","982000365435045","8",71,"2022","14_2022",2022-07-11,26.5,3.31418600467252
"78","982000365434890","8",78,"2022","21_2022",2022-07-11,58.7,4.08933202039856
"79","982091066167278","8",72,"2022","15_2022",2022-07-11,70.3,4.26689632742025
"80","982126054418841","10",94,"2022","37_2022",2022-07-25,0,0
"81","982000365435090","11",81,"2022","24_2022",2022-07-25,0,0
"82","982000167210468","13",82,"2022","25_2022",2022-07-25,0,0
"83","982091066164836","13",83,"2022","26_2022",2022-07-25,0,0
"84","900118000003084","13",84,"2022","27_2022",2022-07-25,0,0
"85","982091066165118","15",85,"2022","28_2022",2022-07-25,89.6999999999999,4.50755735712109
"86","982091066164617","15",86,"2022","29_2022",2022-07-25,39.5000000000001,3.7013019741125
"87","900118000002907","15",87,"2022","30_2022",2022-07-25,13.1000000000001,2.64617479738413
"88","982000167211662","15",88,"2022","31_2022",2022-07-25,118.9,4.78665806203347
"89","702D","52",96,"2022","39_2022",2022-07-25,0,0
"90","7","52",97,"2022","40_2022",2022-07-25,0,0
"91","985170001736603","52",98,"2022","41_2022",2022-07-25,0,0
"92","900118000002910","8",89,"2022","32_2022",2022-07-25,0,0
"93","900118000002813","8",90,"2022","33_2022",2022-07-25,0,0
"94","982091066165094","8",91,"2022","34_2022",2022-07-25,0,0
"95","1004E","8",92,"2022","35_2022",2022-07-25,0,0
"96","434D432441","8",93,"2022","36_2022",2022-07-25,0,0
