Date,Pond,Survey_Type,Pond_Section,Opening_Area_m2,Sample_Length_m,Sample_Volume_m3,Number_FS,Notes,
7/20/04,7,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/20/04,7,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/20/04,7,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/20/04,7,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/20/04,15,Fairy_Shrimp,N,0.065,1,0.065,1,,
7/20/04,15,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/20/04,15,Fairy_Shrimp,E,0.065,1,0.065,5,,
7/20/04,15,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/20/04,9,Fairy_Shrimp,N,0.058,8,0.464,0,,
7/20/04,9,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/20/04,9,Fairy_Shrimp,E,0.058,8,0.464,0,,
7/20/04,9,Fairy_Shrimp,W,0.058,8,0.464,0,,
7/20/04,10,Fairy_Shrimp,N,0.058,8,0.464,37,,
7/20/04,10,Fairy_Shrimp,S,0.058,8,0.464,1,,
7/20/04,10,Fairy_Shrimp,E,0.058,8,0.464,14,,
7/20/04,10,Fairy_Shrimp,W,0.058,8,0.464,2,,
7/20/04,11,Fairy_Shrimp,N,0.058,8,0.464,2,,
7/20/04,11,Fairy_Shrimp,S,0.058,8,0.464,4,,
7/20/04,11,Fairy_Shrimp,E,0.058,8,0.464,5,,
7/20/04,11,Fairy_Shrimp,W,0.058,8,0.464,8,,
7/20/04,8,Fairy_Shrimp,N,0.058,8,0.464,5,,
7/20/04,8,Fairy_Shrimp,S,0.058,8,0.464,4,,
7/20/04,8,Fairy_Shrimp,E,0.058,8,0.464,2,,
7/20/04,8,Fairy_Shrimp,W,0.058,8,0.464,5,,
7/20/04,6,Fairy_Shrimp,N,0.058,8,0.464,0,,
7/20/04,6,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/20/04,6,Fairy_Shrimp,E,0.058,8,0.464,0,,
7/20/04,6,Fairy_Shrimp,W,0.058,8,0.464,0,,
7/20/04,13,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/20/04,13,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/20/04,13,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/20/04,13,Fairy_Shrimp,W,0.065,1,0.065,0,,
6/29/06,6,Fairy_Shrimp,Tow_1,0.058,7,0.406,0,,
6/29/06,6,Fairy_Shrimp,Tow_2,0.058,7,0.406,2,,
6/29/06,6,Fairy_Shrimp,Tow_3,0.058,7,0.406,0,,
6/29/06,6,Fairy_Shrimp,Tow_4,0.058,7,0.406,3,,
6/29/06,8,Fairy_Shrimp,Tow_1,0.058,7,0.406,5,,
6/29/06,8,Fairy_Shrimp,Tow_2,0.058,7,0.406,214,,
6/29/06,8,Fairy_Shrimp,Tow_3,0.058,7,0.406,273,,
6/29/06,8,Fairy_Shrimp,Tow_4,0.058,7,0.406,266,,
6/29/06,9,Fairy_Shrimp,Tow_1,0.058,7,0.406,0,,
6/29/06,9,Fairy_Shrimp,Tow_2,0.058,7,0.406,0,,
6/29/06,9,Fairy_Shrimp,Tow_3,0.058,7,0.406,3,,
6/29/06,9,Fairy_Shrimp,Tow_4,0.058,7,0.406,0,,
6/29/06,10,Fairy_Shrimp,Tow_1,0.058,7,0.406,0,,
6/29/06,10,Fairy_Shrimp,Tow_2,0.058,7,0.406,3,,
6/29/06,10,Fairy_Shrimp,Tow_3,0.058,7,0.406,0,,
6/29/06,10,Fairy_Shrimp,Tow_4,0.058,7,0.406,0,,
6/29/06,11,Fairy_Shrimp,Tow_1,0.058,7,0.406,5,,
6/29/06,11,Fairy_Shrimp,Tow_2,0.058,7,0.406,51,,
6/29/06,11,Fairy_Shrimp,Tow_3,0.058,7,0.406,69,,
6/29/06,11,Fairy_Shrimp,Tow_4,0.058,7,0.406,85,,
6/29/06,15,Fairy_Shrimp,Tow_1,0.058,7,0.406,87,,
6/29/06,15,Fairy_Shrimp,Tow_2,0.058,7,0.406,56,,
6/29/06,15,Fairy_Shrimp,Tow_3,0.058,7,0.406,101,,
6/29/06,15,Fairy_Shrimp,Tow_4,0.058,7,0.406,34,,
6/29/06,19,Fairy_Shrimp,Tow_1,0.058,7,0.406,0,,
6/29/06,19,Fairy_Shrimp,Tow_2,0.058,7,0.406,0,,
6/29/06,19,Fairy_Shrimp,Tow_3,0.058,7,0.406,0,,
6/29/06,19,Fairy_Shrimp,Tow_4,0.058,7,0.406,0,,
6/29/06,7,Fairy_Shrimp,Sweep_1,0.065,1,0.065,2,,
6/29/06,7,Fairy_Shrimp,Sweep_2,0.065,1,0.065,106,,
6/29/06,7,Fairy_Shrimp,Sweep_3,0.065,1,0.065,64,,
6/29/06,7,Fairy_Shrimp,Sweep_4,0.065,1,0.065,121,,
6/29/06,13,Fairy_Shrimp,Sweep_1,0.065,1,0.065,6,,
6/29/06,13,Fairy_Shrimp,Sweep_2,0.065,1,0.065,4,,
6/29/06,13,Fairy_Shrimp,Sweep_3,0.065,1,0.065,21,,
6/29/06,13,Fairy_Shrimp,Sweep_4,0.065,1,0.065,15,,
7/12/13,15,BenthicLarge,N,0.065,1,0.065,212,,
7/12/13,15,BenthicLarge,S,0.065,1,0.065,123,,
7/12/13,15,BenthicLarge,W,0.065,1,0.065,116,,
7/21/16,15,BenthicLarge,W,0.065,1,0.065,5,,
7/21/16,15,BenthicSmall,N,NA,NA,NA,1,,
7/25/16,8,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,8,Fairy_Shrimp,Tow_2,0.058,8,0.464,0,,
7/25/16,8,Fairy_Shrimp,Tow_3,0.058,8,0.464,0,,
7/25/16,8,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,6,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,6,Fairy_Shrimp,Tow_2,0.058,8,0.464,0,,
7/25/16,6,Fairy_Shrimp,Tow_3,0.058,8,0.464,0,,
7/25/16,6,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,9,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,9,Fairy_Shrimp,Tow_2,0.058,8,0.464,0,,
7/25/16,9,Fairy_Shrimp,Tow_3,0.058,8,0.464,0,,
7/25/16,9,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,10,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,10,Fairy_Shrimp,Tow_2,0.058,8,0.464,1,,
7/25/16,10,Fairy_Shrimp,Tow_3,0.058,8,0.464,2,,
7/25/16,10,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,11,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,11,Fairy_Shrimp,Tow_2,0.058,8,0.464,1,,
7/25/16,11,Fairy_Shrimp,Tow_3,0.058,8,0.464,1,,
7/25/16,11,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,51,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,51,Fairy_Shrimp,Tow_2,0.058,8,0.464,1,,
7/25/16,51,Fairy_Shrimp,Tow_3,0.058,8,0.464,0,,
7/25/16,51,Fairy_Shrimp,Tow_4,0.058,8,0.464,1,,
7/25/16,52,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,52,Fairy_Shrimp,Tow_2,0.058,8,0.464,2,,
7/25/16,52,Fairy_Shrimp,Tow_3,0.058,8,0.464,2,,
7/25/16,52,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,55,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,55,Fairy_Shrimp,Tow_2,0.058,8,0.464,0,,
7/25/16,55,Fairy_Shrimp,Tow_3,0.058,8,0.464,0,,
7/25/16,55,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/25/16,56,Fairy_Shrimp,Tow_1,0.058,8,0.464,0,,
7/25/16,56,Fairy_Shrimp,Tow_2,0.058,8,0.464,0,,
7/25/16,56,Fairy_Shrimp,Tow_3,0.058,8,0.464,1,,
7/25/16,56,Fairy_Shrimp,Tow_4,0.058,8,0.464,0,,
7/31/17,15,BenthicLarge,N,0.065,1,0.065,8,,
7/31/17,15,BenthicLarge,E,0.065,1,0.065,5,,
7/31/17,15,BenthicLarge,W,0.065,1,0.065,16,,
7/31/17,15,BenthicLarge,S,0.065,1,0.065,2,,
7/19/18,1,BenthicLarge,N,0.065,1,0.065,0,,
7/19/18,1,BenthicLarge,E,0.065,1,0.065,0,,
7/19/18,1,BenthicLarge,S,0.065,1,0.065,0,,
7/19/18,1,BenthicLarge,W,0.065,1,0.065,0,,
7/19/18,3,BenthicLarge,N,0.065,1,0.065,0,,
7/19/18,3,BenthicLarge,E,0.065,1,0.065,0,,
7/19/18,3,BenthicLarge,S,0.065,1,0.065,0,,
7/19/18,3,BenthicLarge,W,0.065,1,0.065,0,,
7/19/18,5,BenthicLarge,N,0.065,1,0.065,0,,
7/19/18,5,BenthicLarge,E,0.065,1,0.065,0,,
7/19/18,5,BenthicLarge,S,0.065,1,0.065,0,,
7/19/18,5,BenthicLarge,W,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,N,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,E,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,S,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,W,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,N,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,E,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,S,0.065,1,0.065,0,,
7/20/18,6,BenthicLarge,W,0.065,1,0.065,0,,
7/20/18,8,BenthicLarge,N,0.065,1,0.065,0,,
7/20/18,8,BenthicLarge,E,0.065,1,0.065,4,,
7/20/18,8,BenthicLarge,S,0.065,1,0.065,0,,
7/20/18,8,BenthicLarge,W,0.065,1,0.065,3,,
7/20/18,9,BenthicLarge,N,0.065,1,0.065,0,,
7/20/18,9,BenthicLarge,E,0.065,1,0.065,0,,
7/20/18,9,BenthicLarge,S,0.065,1,0.065,0,,
7/20/18,9,BenthicLarge,W,0.065,1,0.065,1,,
7/19/18,10,BenthicLarge,N,0.065,1,0.065,0,,
7/19/18,10,BenthicLarge,E,0.065,1,0.065,0,,
7/19/18,10,BenthicLarge,S,0.065,1,0.065,0,,
7/19/18,10,BenthicLarge,W,0.065,1,0.065,0,,
7/19/18,11,BenthicLarge,N,0.065,1,0.065,3,,
7/19/18,11,BenthicLarge,E,0.065,1,0.065,3,,
7/19/18,11,BenthicLarge,S,0.065,1,0.065,0,,
7/19/18,11,BenthicLarge,W,0.065,1,0.065,5,,
7/20/18,12,BenthicLarge,N,0.065,1,0.065,0,,
7/20/18,12,BenthicLarge,E,0.065,1,0.065,0,,
7/20/18,12,BenthicLarge,S,0.065,1,0.065,0,,
7/20/18,12,BenthicLarge,W,0.065,1,0.065,0,,
7/16/18,13,BenthicLarge,N,0.065,1,0.065,0,,
7/16/18,15,BenthicLarge,N,0.065,1,0.065,1,,
7/16/18,15,BenthicLarge,E,0.065,1,0.065,4,,
7/16/18,15,BenthicLarge,S,0.065,1,0.065,2,,
7/16/18,15,BenthicLarge,W,0.065,1,0.065,6,,
7/16/18,22,BenthicLarge,N,0.065,1,0.065,0,,
7/26/19,7,BenthicSmall,W,NA,NA,NA,1,"CAUTION - DATASHEET PRINTED TEXT INDICATES THIS SMALL SAMPLE COUNT IS 1/3m2, NOT 0.01767. See page 51 of pdf.",
7/26/19,13,BenthicSmall,E,NA,NA,NA,1,"CAUTION - DATASHEET PRINTED TEXT INDICATES THIS SMALL SAMPLE COUNT IS 1/3m2, NOT 0.01767. See page 66 of pdf.",
7/26/19,13,BenthicSmall,N,NA,NA,NA,1,"CAUTION - DATASHEET PRINTED TEXT INDICATES THIS SMALL SAMPLE COUNT IS 1/3m2, NOT 0.01767. See page 66 of pdf.",
7/26/19,15,BenthicSmall,S,NA,NA,NA,50,"CAUTION - DATASHEET PRINTED TEXT INDICATES THIS SMALL SAMPLE COUNT IS 1/3m2, NOT 0.01767. See page 69 of pdf.",
7/26/19,15,BenthicSmall,W,NA,NA,NA,15,"CAUTION - DATASHEET PRINTED TEXT INDICATES THIS SMALL SAMPLE COUNT IS 1/3m2, NOT 0.01767. See page 70 of pdf.",
