Date,Time,Pond,Pond_Section,Number_FS,Picture,FS_ID,Length_cm,Biomass_mg,Notes
6/18/21,14:30,13,North,Count,Y (5),178,0.447,,
6/18/21,14:30,13,North,Count,Y (5),179,0.478,,
6/18/21,14:30,13,North,Count,Y (5),180,0.406,,
6/18/21,14:30,13,North,Count,Y (5),181,0.446,,
6/18/21,14:30,13,North,Count,Y (5),182,0.336,,
6/18/21,14:30,13,North,Count,Y (5),183,0.479,,
6/18/21,14:30,13,North,Count,Y (5),184,0.353,,
6/18/21,14:30,13,North,Count,Y (5),185,0.452,,
6/18/21,14:30,13,North,Count,Y (5),186,0.383,,
6/18/21,14:30,13,North,Count,Y (5),187,0.380,,
6/18/21,14:30,13,North,Count,Y (5),188,0.538,,
6/18/21,14:30,13,North,Count,Y (5),189,0.375,,
6/18/21,14:30,13,North,Count,Y (5),190,0.335,,
6/18/21,14:30,13,North,Count,Y (5),191,0.327,,
6/18/21,14:30,13,North,Count,Y (5),192,0.417,,
6/18/21,14:30,13,East,Count,Y (2),1,0.425,,
6/18/21,14:30,13,East,Count,Y (2),2,0.455,,
6/18/21,14:30,13,East,Count,Y (2),3,0.381,,
6/18/21,14:30,13,East,Count,Y (2),4,0.377,,
6/18/21,14:30,13,East,Count,Y (2),5,0.373,,
6/18/21,14:30,13,East,Count,Y (2),6,0.395,,
6/18/21,14:30,13,East,Count,Y (2),7,0.459,,
6/18/21,14:30,13,East,Count,Y (2),8,0.463,,
6/18/21,14:30,13,East,Count,Y (2),9,0.364,,
6/18/21,14:30,13,East,Count,Y (2),10,0.405,,
6/18/21,14:30,13,East,Count,Y (2),11,0.460,,
6/18/21,14:30,13,East,Count,Y (2),12,0.522,,
6/18/21,14:30,13,East,Count,Y (2),13,0.410,,
6/18/21,14:30,13,East,Count,Y (2),14,0.488,,
6/18/21,14:30,13,East,Count,Y (2),15,0.170,,
6/18/21,14:30,13,East,Count,Y (2),16,0.356,,
6/18/21,14:30,13,East,Count,Y (2),17,0.582,,
6/18/21,14:30,13,East,Count,Y (2),18,0.314,,
6/18/21,14:30,13,East,Count,Y (2),19,0.377,,
6/18/21,14:30,13,East,Count,Y (2),20,0.501,,
6/18/21,14:30,13,East,Count,Y (2),21,0.405,,
6/18/21,14:30,13,East,Count,Y (2),22,0.312,,
6/18/21,14:30,13,East,Count,Y (2),23,0.368,,
6/18/21,14:30,13,East,Count,Y (2),24,0.341,,
6/18/21,14:30,13,East,Count,Y (2),25,0.341,,
6/18/21,14:30,13,East,Count,Y (2),26,0.343,,
6/18/21,14:30,13,East,Count,Y (2),27,0.413,,
6/18/21,14:30,13,East,Count,Y (2),28,0.437,,
6/18/21,14:30,13,East,Count,Y (2),29,0.476,,
6/18/21,14:30,13,East,Count,Y (2),30,0.431,,
6/18/21,14:30,13,East,Count,Y (2),31,0.349,,
6/18/21,14:30,13,East,Count,Y (2),32,0.380,,
6/18/21,14:30,13,East,Count,Y (2),33,0.332,,
6/18/21,14:30,13,East,Count,Y (2),34,0.326,,
6/18/21,14:30,13,East,Count,Y (2),35,0.432,,
6/18/21,14:30,13,East,Count,Y (2),36,0.354,,
6/18/21,14:30,13,East,Count,Y (2),37,0.327,,
6/18/21,14:30,13,East,Count,Y (2),38,0.444,,
6/18/21,14:30,13,East,Count,Y (2),39,0.369,,
6/18/21,14:30,13,East,Count,Y (2),40,0.458,,
6/18/21,14:30,13,East,Count,Y (2),41,0.521,,
6/18/21,14:30,13,East,Count,Y (2),42,0.475,,
6/18/21,14:30,13,East,Count,Y (2),43,0.449,,
6/18/21,14:30,13,East,Count,Y (2),44,0.380,,
6/18/21,14:30,13,East,Count,Y (2),45,0.277,,
6/18/21,14:30,13,East,Count,Y (2),46,0.363,,
6/18/21,14:30,13,East,Count,Y (2),47,0.436,,
6/18/21,14:30,13,East,Count,Y (2),48,0.412,,
6/18/21,14:30,13,East,Count,Y (2),49,0.429,,
6/18/21,14:30,13,East,Count,Y (2),50,0.527,,
6/18/21,14:30,13,East,Count,Y (2),51,0.383,,
6/18/21,14:30,13,East,Count,Y (2),52,0.353,,
6/18/21,14:30,13,East,Count,Y (2),53,0.339,,
6/18/21,14:30,13,East,Count,Y (2),54,0.463,,
6/18/21,14:30,13,East,Count,Y (2),55,0.358,,
6/18/21,14:30,13,East,Count,Y (2),56,0.379,,
6/18/21,14:30,13,East,Count,Y (2),57,0.393,,
6/18/21,14:30,13,East,Count,Y (2),58,0.360,,
6/18/21,14:30,13,East,Count,Y (2),59,0.387,,
6/18/21,14:30,13,South,Count,Y (2),1,0.541,,
6/18/21,14:30,13,South,Count,Y (2),2,0.333,,
6/18/21,14:30,13,South,Count,Y (2),3,0.568,,
6/18/21,14:30,13,South,Count,Y (2),4,0.424,,
6/18/21,14:30,13,South,Count,Y (2),5,0.531,,
6/18/21,14:30,13,South,Count,Y (2),6,0.406,,
6/18/21,14:30,13,South,Count,Y (2),7,0.474,,
6/18/21,14:30,13,South,Count,Y (2),8,0.491,,
6/18/21,14:30,13,South,Count,Y (2),9,0.428,,
6/18/21,14:30,13,South,Count,Y (2),10,0.449,,
6/18/21,14:30,13,South,Count,Y (2),11,0.444,,
6/18/21,14:30,13,South,Count,Y (2),12,0.558,,
6/18/21,14:30,13,South,Count,Y (2),13,0.468,,
6/18/21,14:30,13,South,Count,Y (2),14,0.524,,
6/18/21,14:30,13,South,Count,Y (2),15,0.377,,
6/18/21,14:30,13,South,Count,Y (2),16,0.445,,
6/18/21,14:30,13,South,Count,Y (2),17,0.404,,
6/18/21,14:30,13,South,Count,Y (2),18,0.472,,
6/18/21,14:30,13,South,Count,Y (2),19,0.485,,
6/18/21,14:30,13,South,Count,Y (2),20,0.441,,
6/18/21,14:30,13,South,Count,Y (2),21,0.451,,
6/18/21,14:30,13,South,Count,Y (2),22,0.344,,
6/18/21,14:30,13,South,Count,Y (2),23,0.484,,
6/18/21,14:30,13,South,Count,Y (2),24,0.459,,
6/18/21,14:30,13,South,Count,Y (2),25,0.466,,
6/18/21,14:30,13,South,Count,Y (2),26,0.435,,
6/18/21,14:30,13,South,Count,Y (2),27,0.403,,
6/18/21,14:30,13,South,Count,Y (2),28,0.443,,
6/18/21,14:30,13,South,Count,Y (2),29,0.447,,
6/18/21,14:30,13,South,Count,Y (2),30,0.464,,
6/18/21,14:30,13,South,Count,Y (2),31,0.574,,
6/18/21,14:30,13,South,Count,Y (2),32,0.492,,
6/18/21,14:30,13,South,Count,Y (2),33,0.478,,
6/18/21,14:30,13,South,Count,Y (2),34,0.442,,
6/18/21,14:30,13,South,Count,Y (2),35,0.383,,
6/18/21,14:30,13,South,Count,Y (2),36,0.545,,
6/18/21,14:30,13,South,Count,Y (2),37,0.484,,
6/18/21,14:30,13,South,Count,Y (2),38,0.445,,
6/18/21,14:30,13,South,Count,Y (2),39,0.491,,
6/18/21,14:30,13,South,Count,Y (2),40,0.377,,
6/18/21,14:30,13,South,Count,Y (2),41,0.286,,
6/18/21,14:30,13,South,Count,Y (2),42,0.488,,
6/18/21,14:30,13,South,Count,Y (2),43,0.424,,
6/18/21,14:30,13,South,Count,Y (2),44,0.486,,
6/18/21,14:30,13,South,Count,Y (2),45,0.381,,
6/18/21,14:30,13,South,Count,Y (2),46,0.510,,
6/18/21,14:30,13,South,Count,Y (2),47,0.381,,
6/18/21,14:30,13,South,Count,Y (2),48,0.424,,
6/18/21,14:30,13,South,Count,Y (2),49,0.406,,
6/18/21,14:30,13,South,Count,Y (2),50,0.478,,
6/18/21,14:30,13,South,Count,Y (2),51,0.470,,
6/18/21,14:30,13,South,Count,Y (2),52,0.483,,
6/18/21,14:30,13,South,Count,Y (2),53,0.489,,
6/18/21,14:30,13,South,Count,Y (2),54,0.367,,
6/18/21,14:30,13,South,Count,Y (2),55,0.412,,
6/18/21,14:30,13,South,Count,Y (2),56,0.436,,
6/18/21,14:30,13,South,Count,Y (2),57,0.367,,
6/18/21,14:30,13,South,Count,Y (2),58,0.531,,
6/18/21,14:30,13,South,Count,Y (2),59,0.383,,
6/18/21,14:30,13,South,Count,Y (2),60,0.467,,
6/18/21,14:30,13,South,Count,Y (2),61,0.387,,
6/18/21,14:30,13,South,Count,Y (2),62,0.326,,
6/18/21,14:30,13,South,Count,Y (2),63,0.380,,
6/18/21,14:30,13,South,Count,Y (2),64,0.416,,
6/18/21,14:30,13,South,Count,Y (2),65,0.439,,
6/18/21,14:30,13,South,Count,Y (2),66,0.418,,
6/18/21,14:30,13,South,Count,Y (2),67,0.385,,
6/18/21,14:30,13,South,Count,Y (2),68,0.425,,
6/18/21,14:30,13,South,Count,Y (2),69,0.359,,
6/18/21,14:30,13,South,Count,Y (2),70,0.252,,
6/21/21,10:10,6,North,1,Y,1,0.409,,Can see at least one meta
6/21/21,10:10,6,East,2,Y,1,0.539,,
6/21/21,10:10,6,East,2,Y,2,0.540,,
6/21/21,10:10,6,West,1,Y,1,0.362,,
6/21/21,10:10,6,South,0,N,NA,0.000,,
6/21/21,10:41,10,South,7,Y,1,0.482,,At least two salamanders
6/21/21,10:41,10,South,7,Y,2,0.389,,
6/21/21,10:41,10,South,7,Y,3,0.343,,
6/21/21,10:41,10,South,7,Y,4,0.541,,
6/21/21,10:41,10,South,7,Y,5,0.469,,
6/21/21,10:41,10,South,7,Y,6,0.469,,
6/21/21,10:41,10,South,7,Y,7,0.530,,
6/21/21,10:41,10,South(2),4,Y,1,0.438,,
6/21/21,10:41,10,South(2),4,Y,2,0.505,,
6/21/21,10:41,10,South(2),4,Y,3,0.571,,
6/21/21,10:41,10,South(2),4,Y,4,0.431,,
6/21/21,10:41,10,West,1,Y,1,0.533,,
6/21/21,10:41,10,East,1,Y,1,0.413,,
6/21/21,10:41,10,North,13,Y,1,0.442,,Sample dragged in benthos. More FS as a result??
6/21/21,10:41,10,North,13,Y,2,0.454,,
6/21/21,10:41,10,North,13,Y,3,0.479,,
6/21/21,10:41,10,North,13,Y,4,0.372,,
6/21/21,10:41,10,North,13,Y,5,0.448,,
6/21/21,10:41,10,North,13,Y,6,0.357,,
6/21/21,10:41,10,North,13,Y,7,0.401,,
6/21/21,10:41,10,North,13,Y,8,0.427,,
6/21/21,10:41,10,North,13,Y,9,0.329,,
6/21/21,10:41,10,North,13,Y,10,0.369,,
6/21/21,10:41,10,North,13,Y,11,0.424,,
6/21/21,10:41,10,North,13,Y,12,0.447,,
6/21/21,10:41,10,North,13,Y,13,0.422,,
6/21/21,11:35,15,South,Count,Y (3),1,0.340,,Sampling rest of pond after lunch break
6/21/21,11:35,15,South,Count,Y (3),2,0.392,,
6/21/21,11:35,15,South,Count,Y (3),3,0.372,,
6/21/21,11:35,15,South,Count,Y (3),4,0.354,,
6/21/21,11:35,15,South,Count,Y (3),5,0.396,,
6/21/21,11:35,15,South,Count,Y (3),6,0.347,,
6/21/21,11:35,15,South,Count,Y (3),7,0.355,,
6/21/21,11:35,15,South,Count,Y (3),8,0.403,,
6/21/21,11:35,15,South,Count,Y (3),9,0.403,,
6/21/21,11:35,15,South,Count,Y (3),10,0.355,,
6/21/21,11:35,15,South,Count,Y (3),11,0.335,,
6/21/21,11:35,15,South,Count,Y (3),12,0.326,,
6/21/21,11:35,15,South,Count,Y (3),13,0.257,,
6/21/21,11:35,15,South,Count,Y (3),14,0.376,,
6/21/21,11:35,15,South,Count,Y (3),15,0.392,,
6/21/21,11:35,15,South,Count,Y (3),16,0.399,,
6/21/21,11:35,15,South,Count,Y (3),17,0.319,,
6/21/21,11:35,15,South,Count,Y (3),18,0.376,,
6/21/21,11:35,15,South,Count,Y (3),19,0.315,,
6/21/21,11:35,15,South,Count,Y (3),20,0.397,,
6/21/21,11:35,15,South,Count,Y (3),21,0.347,,
6/21/21,11:35,15,South,Count,Y (3),22,0.347,,
6/21/21,11:35,15,South,Count,Y (3),23,0.447,,
6/21/21,11:35,15,South,Count,Y (3),24,0.357,,
6/21/21,11:35,15,South,Count,Y (3),25,0.290,,
6/21/21,11:35,15,South,Count,Y (3),26,0.343,,
6/21/21,11:35,15,South,Count,Y (3),27,0.420,,
6/21/21,11:35,15,South,Count,Y (3),28,0.458,,
6/21/21,11:35,15,South,Count,Y (3),29,0.452,,
6/21/21,11:35,15,South,Count,Y (3),30,0.302,,
6/21/21,11:35,15,South,Count,Y (3),31,0.393,,
6/21/21,11:35,15,South,Count,Y (3),32,0.358,,
6/21/21,11:35,15,South,Count,Y (3),33,0.385,,
6/21/21,11:35,15,South,Count,Y (3),34,0.336,,
6/21/21,11:35,15,South,Count,Y (3),35,0.358,,
6/21/21,11:35,15,South,Count,Y (3),36,0.300,,
6/21/21,11:35,15,South,Count,Y (3),37,0.407,,
6/21/21,11:35,15,South,Count,Y (3),38,0.381,,
6/21/21,11:35,15,South,Count,Y (3),39,0.377,,
6/21/21,11:35,15,South,Count,Y (3),40,0.205,,
6/21/21,11:35,15,South,Count,Y (3),41,0.399,,
6/21/21,11:35,15,South,Count,Y (3),42,0.358,,
6/21/21,11:35,15,South,Count,Y (3),43,0.321,,
6/21/21,11:35,15,South,Count,Y (3),44,0.417,,
6/21/21,11:35,15,South,Count,Y (3),45,0.466,,
6/21/21,11:35,15,South,Count,Y (3),46,0.389,,
6/21/21,11:35,15,South,Count,Y (3),47,0.375,,
6/21/21,11:35,15,South,Count,Y (3),48,0.363,,
6/21/21,11:35,15,South,Count,Y (3),49,0.244,,
6/21/21,11:35,15,South,Count,Y (3),50,0.366,,
6/21/21,11:35,15,South,Count,Y (3),51,0.466,,
6/21/21,11:35,15,South,Count,Y (3),52,0.257,,
6/21/21,11:35,15,South,Count,Y (3),53,0.377,,
6/21/21,11:35,15,South,Count,Y (3),54,0.402,,
6/21/21,11:35,15,South,Count,Y (3),55,0.369,,
6/21/21,11:35,15,South,Count,Y (3),56,0.329,,
