"","DATEOFYEAR","Year","INDIV_ID","INDIV_ID_Year","MORPH","POND","COHORT","SEX","WEIGHT","SVL","SVL_fit","SVL_fit_lwr","SVL_fit_upr","SVL_residual","SVL_residual_mean"
"12",2003-07-28,2003,"9401","9401_2003","Meta","12",2001,"Male",10.7,82,80.3106910542533,79.2562654431158,81.3034547489479,1.6893089457467,2.49773389778063
"13",2002-06-14,2002,"2000F","2000F_2002","Meta","8",2000,"Male",26,92,80.3106910542533,79.2562654431158,81.3034547489479,11.6893089457467,5.48889189154908
"14",1990-06-25,1990,"284","284_1990","Meta","8",1988,"Female",25,99,80.3106910542533,79.2562654431158,81.3034547489479,18.6893089457467,19.3479309705473
"15",1992-07-14,1992,"3090","3090_1992","Meta","10",1990,"Male",21.1,91,80.3106910542533,79.2562654431158,81.3034547489479,10.6893089457467,9.02108808638564
"16",2022-07-06,2022,"982091066167491","982091066167491_2022","Meta","9",2020,"Male",12.04,74,80.3106910542533,79.2562654431158,81.3034547489479,-6.3106910542533,-5.3106910542533
"17",2022-06-24,2022,"982091066167491","982091066167491_2022","Meta","9",2020,"Male",10.54,76,80.3106910542533,79.2562654431158,81.3034547489479,-4.3106910542533,-5.3106910542533
"18",2002-06-20,2002,"2000F","2000F_2002","Meta","8",2000,"Male",27.8,92,80.3106910542533,79.2562654431158,81.3034547489479,11.6893089457467,5.48889189154908
"19",2022-07-11,2022,"982091066167420","982091066167420_2022","Meta","8",2020,"Female",17.79,79,80.3106910542533,79.2562654431158,81.3034547489479,-1.3106910542533,-1.3106910542533
"20",2021-07-12,2021,"982126054418692","982126054418692_2021","Meta","8",2019,"Female",12.04,72,80.3106910542533,79.2562654431158,81.3034547489479,-8.3106910542533,-10.8106910542533
"21",2002-07-11,2002,"2000F","2000F_2002","Meta","8",2000,"Male",28.3,93,80.3106910542533,79.2562654431158,81.3034547489479,12.6893089457467,5.48889189154908
"22",1990-08-09,1990,"284","284_1990","Meta","8",1988,"Female",38,102,80.3106910542533,79.2562654431158,81.3034547489479,21.6893089457467,19.3479309705473
"23",2003-06-17,2003,"9401","9401_2003","Meta","12",2001,"Male",16.8,86,80.3106910542533,79.2562654431158,81.3034547489479,5.6893089457467,2.49773389778063
"24",2021-06-14,2021,"982126054418692","982126054418692_2021","Meta","8",2019,"Female",8.71,67,80.3106910542533,79.2562654431158,81.3034547489479,-13.3106910542533,-10.8106910542533
"25",2003-07-14,2003,"9104A","9104A_2003","Meta","8",2000,"Female",13.8,74,82.1471327729754,81.3850030536439,82.8822932394132,-8.14713277297543,-7.64713277297543
"26",2003-06-18,2003,"2712","2712_2003","Meta","8",2000,"Female",29.2,102,82.1471327729754,81.3850030536439,82.8822932394132,19.8528672270246,14.1974031609815
"27",1991-07-29,1991,"608","608_1991","Meta","8",1988,"Female",17,78,82.1471327729754,81.3850030536439,82.8822932394132,-4.14713277297543,1.71767946671962
"28",2007-07-06,2007,"434F3D1360","434F3D1360_2007","Meta","12",2004,"Female",14.43,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-2.64713277297543
"29",2004-07-02,2004,"800C","800C_2004","Meta","12",2001,"Male",14,85,82.1471327729754,81.3850030536439,82.8822932394132,2.85286722702457,3.18620056035791
"30",2003-06-17,2003,"2000G","2000G_2003","Meta","12",2000,"Male",13.3,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,-1.23690384431311
"31",2004-06-29,2004,"2340A","2340A_2004","Meta","12",2001,"Female",15,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-3.34391118654139
"32",2004-06-29,2004,"2310C","2310C_2004","Meta","12",2001,"Male",15.5,87,82.1471327729754,81.3850030536439,82.8822932394132,4.85286722702457,4.91963557562969
"33",1994-07-06,1994,"3777","3777_1994","Meta","8",1991,"Female",23.1,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,3.24527903747868
"34",2004-07-02,2004,"130D","130D_2004","Meta","12",2001,"Female",9.2,71,82.1471327729754,81.3850030536439,82.8822932394132,-11.1471327729754,-10.6471327729754
"35",2003-07-14,2003,"2300B","2300B_2003","Meta","12",2000,"Male",12.8,83,82.1471327729754,81.3850030536439,82.8822932394132,0.852867227024575,4.9433321957388
"36",2018-07-17,2018,"982126054418914","982126054418914_2018","Meta","1",2015,"Female",11.64,66,82.1471327729754,81.3850030536439,82.8822932394132,-16.1471327729754,-14.0132552842717
"37",2003-06-23,2003,"3204A","3204A_2003","Meta","1",2000,"Male",13.6,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,-2.47450044968649
"38",2003-07-24,2003,"3100B","3100B_2003","Meta","12",2000,"Male",14.1,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,0.0291463163124348
"39",2003-07-14,2003,"2200H","2200H_2003","Meta","12",2000,"Male",13.2,83,82.1471327729754,81.3850030536439,82.8822932394132,0.852867227024575,6.96866144781722
"40",1991-07-08,1991,"284","284_1991","Meta","8",1988,"Female",39,98,82.1471327729754,81.3850030536439,82.8822932394132,15.8528672270246,19.3479309705473
"41",2008-08-05,2008,"4369085E5D","4369085E5D_2008","Meta","13",2005,"Female",16.93,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-2.97778145094706
"42",2003-07-24,2003,"9104A","9104A_2003","Meta","8",2000,"Female",12.2,75,82.1471327729754,81.3850030536439,82.8822932394132,-7.14713277297543,-7.64713277297543
"43",2003-07-22,2003,"2100C","2100C_2003","Meta","12",2000,"Male",12.4,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-1.70089855828985
"44",1993-07-07,1993,"2413","2413_1993","Meta","9",1990,"Female",17.3,85,82.1471327729754,81.3850030536439,82.8822932394132,2.85286722702457,-0.227866379322627
"45",1993-07-23,1993,"2330","2330_1993","Meta","11",1990,"Female",11.4,78,82.1471327729754,81.3850030536439,82.8822932394132,-4.14713277297543,-4.14713277297543
"46",2011-07-21,2011,"434E1A7316","434E1A7316_2011","Meta","10",2008,"Female",8.5,70,82.1471327729754,81.3850030536439,82.8822932394132,-12.1471327729754,-11.6471327729754
"47",2008-07-17,2008,"4369085E5D","4369085E5D_2008","Meta","13",2005,"Female",16.09,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-2.97778145094706
"48",1993-07-23,1993,"3103","3103_1993","Meta","12",1990,"Female",15,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-4.03423189162318
"49",2007-07-06,2007,"4359135D57","4359135D57_2007","Meta","12",2004,"Female",11.2,77,82.1471327729754,81.3850030536439,82.8822932394132,-5.14713277297543,-3.9923782696284
"50",2003-07-14,2003,"2200H","2200H_2003","Meta","12",2000,"Male",13.1,84,82.1471327729754,81.3850030536439,82.8822932394132,1.85286722702457,6.96866144781722
"51",2003-07-14,2003,"2100C","2100C_2003","Meta","12",2000,"Male",11.8,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,-1.70089855828985
"52",1993-08-05,1993,"3090","3090_1993","Meta","10",1990,"Male",15.8,90,82.1471327729754,81.3850030536439,82.8822932394132,7.85286722702457,9.02108808638564
"53",2011-07-21,2011,"435C061E75","435C061E75_2011","Meta","9",2008,"Female",10.7,70,82.1471327729754,81.3850030536439,82.8822932394132,-12.1471327729754,-13.0899488763257
"54",2007-07-06,2007,"4352613C6A","4352613C6A_2007","Meta","12",2004,"Male",11.94,81,82.1471327729754,81.3850030536439,82.8822932394132,-1.14713277297543,2.09734173581105
"55",1991-07-02,1991,"637","637_1991","Meta","10",1988,"Male",12.7,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,12.1788332387399
"56",2003-06-24,2003,"9101A","9101A_2003","Meta","12",2000,"Male",12.2,84,82.1471327729754,81.3850030536439,82.8822932394132,1.85286722702457,6.53772148356646
"57",2003-07-14,2003,"3102B","3102B_2003","Meta","12",2000,"Female",12.6,76,82.1471327729754,81.3850030536439,82.8822932394132,-6.14713277297543,-7.53368590305722
"58",2015-07-02,2015,"982000167196236","982000167196236_2015","Meta","9",2012,"Female",12.53,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-4.22786637932263
"59",2011-07-13,2011,"435C061E75","435C061E75_2011","Meta","9",2008,"Female",10.5,68,82.1471327729754,81.3850030536439,82.8822932394132,-14.1471327729754,-13.0899488763257
"60",2003-07-24,2003,"3200B","3200B_2003","Meta","12",2000,"Male",12.7,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,-2.72786637932263
"61",1991-07-01,1991,"4","4_1991","Meta","11",1988,"Female",13.5,85,82.1471327729754,81.3850030536439,82.8822932394132,2.85286722702457,0.297194333226011
"62",1993-07-31,1993,"2330","2330_1993","Meta","11",1990,"Female",13.4,78,82.1471327729754,81.3850030536439,82.8822932394132,-4.14713277297543,-4.14713277297543
"63",2003-07-24,2003,"9117","9117_2003","Meta","12",2000,"Male",12.8,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,1.42541234096304
"64",2003-06-17,2003,"9224","9224_2003","Meta","12",2000,"Male",13.1,87,82.1471327729754,81.3850030536439,82.8822932394132,4.85286722702457,3.73674471572833
"65",2003-07-14,2003,"9001A","9001A_2003","Meta","8",2000,"Male",15,91,82.1471327729754,81.3850030536439,82.8822932394132,8.85286722702457,8.59658068265091
"66",2003-07-17,2003,"3372","3372_2003","Meta","8",2000,"Male",30.9,95,82.1471327729754,81.3850030536439,82.8822932394132,12.8528672270246,11.6473441927011
"67",2003-06-17,2003,"9404","9404_2003","Meta","1",2000,"Female",23.5,101,82.1471327729754,81.3850030536439,82.8822932394132,18.8528672270246,14.0849989820451
"68",2003-07-22,2003,"2500C","2500C_2003","Meta","9",2000,"Male",17.4,81,82.1471327729754,81.3850030536439,82.8822932394132,-1.14713277297543,-0.781688783554095
"69",2003-07-14,2003,"3100B","3100B_2003","Meta","12",2000,"Male",12.7,85,82.1471327729754,81.3850030536439,82.8822932394132,2.85286722702457,0.0291463163124348
"70",2007-06-26,2007,"434F3D1360","434F3D1360_2007","Meta","12",2004,"Female",13.9,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-2.64713277297543
"71",2004-06-26,2004,"800C","800C_2004","Meta","12",2001,"Male",16.2,85,82.1471327729754,81.3850030536439,82.8822932394132,2.85286722702457,3.18620056035791
"72",2010-07-08,2010,"435867217D","435867217D_2010","Meta","8",2007,"Female",23.2,84,82.1471327729754,81.3850030536439,82.8822932394132,1.85286722702457,3.92847801445332
"73",2003-07-14,2003,"3200B","3200B_2003","Meta","12",2000,"Male",14.3,83,82.1471327729754,81.3850030536439,82.8822932394132,0.852867227024575,-2.72786637932263
"74",1993-07-31,1993,"3103","3103_1993","Meta","12",1990,"Female",14.2,78,82.1471327729754,81.3850030536439,82.8822932394132,-4.14713277297543,-4.03423189162318
"75",1993-07-31,1993,"3090","3090_1993","Meta","12",1990,"Male",16.2,89,82.1471327729754,81.3850030536439,82.8822932394132,6.85286722702457,9.02108808638564
"76",2004-07-06,2004,"130D","130D_2004","Meta","12",2001,"Female",9.2,72,82.1471327729754,81.3850030536439,82.8822932394132,-10.1471327729754,-10.6471327729754
"77",2004-07-06,2004,"800C","800C_2004","Meta","12",2001,"Male",14.8,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,3.18620056035791
"78",2003-06-24,2003,"3404","3404_2003","Meta","12",2000,"Male",13.4,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,9.45718019253405
"79",2003-06-24,2003,"3102B","3102B_2003","Meta","12",2000,"Female",12.9,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-7.53368590305722
"80",2003-07-24,2003,"3202B","3202B_2003","Meta","6",2000,"Female",13.2,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-0.602823915134845
"81",2003-07-28,2003,"2000G","2000G_2003","Meta","12",2000,"Male",18.2,83,82.1471327729754,81.3850030536439,82.8822932394132,0.852867227024575,-1.23690384431311
"82",2003-06-24,2003,"2101A","2101A_2003","Meta","12",2000,"Female",13.5,84,82.1471327729754,81.3850030536439,82.8822932394132,1.85286722702457,2.03137054529625
"83",2003-07-14,2003,"9101A","9101A_2003","Meta","12",2000,"Male",11.7,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,6.53772148356646
"84",1991-07-02,1991,"982","982_1991","Meta","11",1988,"Male",9.8,71,82.1471327729754,81.3850030536439,82.8822932394132,-11.1471327729754,-4.47504192046813
"85",2011-07-06,2011,"434E1A7316","434E1A7316_2011","Meta","12",2008,"Female",10.1,71,82.1471327729754,81.3850030536439,82.8822932394132,-11.1471327729754,-11.6471327729754
"86",2003-07-14,2003,"2000G","2000G_2003","Meta","12",2000,"Male",12.7,80,82.1471327729754,81.3850030536439,82.8822932394132,-2.14713277297543,-1.23690384431311
"87",2004-07-06,2004,"2340A","2340A_2004","Meta","12",2001,"Female",13.8,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,-3.34391118654139
"88",2003-07-14,2003,"3202B","3202B_2003","Meta","6",2000,"Female",14.9,90,82.1471327729754,81.3850030536439,82.8822932394132,7.85286722702457,-0.602823915134845
"89",2007-07-06,2007,"433D181237","433D181237_2007","Meta","12",2004,"Male",11.6,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-1.22891191361436
"90",2004-07-02,2004,"2310C","2310C_2004","Meta","12",2001,"Male",14.9,87,82.1471327729754,81.3850030536439,82.8822932394132,4.85286722702457,4.91963557562969
"91",2007-07-06,2007,"43525C1538","43525C1538_2007","Meta","12",2004,"Male",11.3,75,82.1471327729754,81.3850030536439,82.8822932394132,-7.14713277297543,-6.01014447236501
"92",2003-07-14,2003,"9100","9100_2003","Meta","9",2000,"Male",14.8,87,82.1471327729754,81.3850030536439,82.8822932394132,4.85286722702457,7.0161650694733
"93",2002-06-22,2002,"8000A","8000A_2002","Meta","5",1999,"Female",10.3,78,82.1471327729754,81.3850030536439,82.8822932394132,-4.14713277297543,4.84549990540654
"94",2003-06-24,2003,"9224","9224_2003","Meta","12",2000,"Male",13.3,87,82.1471327729754,81.3850030536439,82.8822932394132,4.85286722702457,3.73674471572833
"95",2003-07-28,2003,"2200H","2200H_2003","Meta","12",2000,"Male",11.7,82,82.1471327729754,81.3850030536439,82.8822932394132,-0.147132772975425,6.96866144781722
"96",2004-07-02,2004,"1910B","1910B_2004","Meta","15",2001,"Female",9.1,60,82.1471327729754,81.3850030536439,82.8822932394132,-22.1471327729754,-8.38562717855283
"97",2003-06-19,2003,"2000G","2000G_2003","Meta","9",2000,"Male",13.9,86,82.1471327729754,81.3850030536439,82.8822932394132,3.85286722702457,-1.23690384431311
"98",2007-06-26,2007,"4359135D57","4359135D57_2007","Meta","12",2004,"Female",11.7,79,82.1471327729754,81.3850030536439,82.8822932394132,-3.14713277297543,-3.9923782696284
"99",2002-06-20,2002,"72D","72D_2002","Meta","12",1999,"Male",9.7,88,82.1471327729754,81.3850030536439,82.8822932394132,5.85286722702457,-1.75238521428364
"100",2002-06-19,2002,"74C","74C_2002","Meta","12",1999,"Male",12.7,84,82.1471327729754,81.3850030536439,82.8822932394132,1.85286722702457,-6.22963619229845
"101",2004-07-26,2004,"2200H","2200H_2004","Meta","9",2000,"Male",30.6,97,83.8084301289187,83.2499924996138,84.3586597126768,13.1915698710813,6.96866144781722
"102",2004-07-02,2004,"9117","9117_2004","Meta","12",2000,"Male",10.9,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,1.42541234096304
"103",2010-06-19,2010,"434F525F1B","434F525F1B_2010","Meta","12",2006,"Male",22.45,93,83.8084301289187,83.2499924996138,84.3586597126768,9.1915698710813,7.9415698710813
"104",2003-06-11,2003,"2003A","2003A_2003","Meta","6",1999,"Male",11.6,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-6.64182008116908
"105",2004-08-02,2004,"3372","3372_2004","Meta","8",2000,"Male",29.7,95,83.8084301289187,83.2499924996138,84.3586597126768,11.1915698710813,11.6473441927011
"106",2004-06-28,2004,"2712","2712_2004","Meta","8",2000,"Female",31.9,99,83.8084301289187,83.2499924996138,84.3586597126768,15.1915698710813,14.1974031609815
"107",2003-07-14,2003,"2003A","2003A_2003","Meta","6",1999,"Male",10.3,78,83.8084301289187,83.2499924996138,84.3586597126768,-5.8084301289187,-6.64182008116908
"108",1994-07-08,1994,"3103","3103_1994","Meta","12",1990,"Female",13.6,79,83.8084301289187,83.2499924996138,84.3586597126768,-4.8084301289187,-4.03423189162318
"109",1992-07-14,1992,"619","619_1992","Meta","10",1988,"Male",15.5,79,83.8084301289187,83.2499924996138,84.3586597126768,-4.8084301289187,-5.3084301289187
"110",2009-07-15,2009,"4369085E5D","4369085E5D_2009","Meta","13",2005,"Female",19.21,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-2.97778145094706
"111",2004-07-02,2004,"2404B","2404B_2004","Meta","12",2000,"Female",24.1,92,83.8084301289187,83.2499924996138,84.3586597126768,8.1915698710813,6.29146795703062
"112",2003-07-24,2003,"2009A","2009A_2003","Meta","12",1999,"Male",14.2,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,-3.82625197395657
"113",2013-07-19,2013,"900118000002621","900118000002621_2013","Meta","12",2009,"Male",11.04,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-5.22616769761769
"114",2004-07-29,2004,"2901C","2901C_2004","Meta","10",2000,"Male",12.5,83,83.8084301289187,83.2499924996138,84.3586597126768,-0.808430128918701,5.77811517021031
"115",2013-07-10,2013,"900118000002621","900118000002621_2013","Meta","12",2009,"Male",10.63,78,83.8084301289187,83.2499924996138,84.3586597126768,-5.8084301289187,-5.22616769761769
"116",2004-07-26,2004,"2404C","2404C_2004","Meta","11",2000,"Male",19.5,87,83.8084301289187,83.2499924996138,84.3586597126768,3.1915698710813,3.94148494270573
"117",2014-07-19,2014,"982000167211846","982000167211846_2014","Meta","5",2010,"Male",8.99,73,83.8084301289187,83.2499924996138,84.3586597126768,-10.8084301289187,-9.8084301289187
"118",2002-06-20,2002,"129B","129B_2002","Meta","8",1998,"Female",22.9,90,83.8084301289187,83.2499924996138,84.3586597126768,6.1915698710813,5.41799997971372
"119",2011-07-18,2011,"435867217D","435867217D_2011","Meta","8",2007,"Female",23.8,88,83.8084301289187,83.2499924996138,84.3586597126768,4.1915698710813,3.92847801445332
"120",1992-07-30,1992,"1292A","1292A_1992","Meta","10",1988,"Male",14.9,77,83.8084301289187,83.2499924996138,84.3586597126768,-6.8084301289187,-7.05851505729427
"121",2005-07-28,2005,"2340A","2340A_2005","Meta","12",2001,"Female",13.5,79,83.8084301289187,83.2499924996138,84.3586597126768,-4.8084301289187,-3.34391118654139
"122",1994-06-16,1994,"1900","1900_1994","Meta","12",1990,"Female",10.3,72,83.8084301289187,83.2499924996138,84.3586597126768,-11.8084301289187,-12.1972790956447
"123",2013-06-27,2013,"900118000002871","900118000002871_2013","Meta","1",2009,"Male",11.7,79,83.8084301289187,83.2499924996138,84.3586597126768,-4.8084301289187,-6.3084301289187
"124",2004-07-07,2004,"2712","2712_2004","Meta","8",2000,"Female",35,99,83.8084301289187,83.2499924996138,84.3586597126768,15.1915698710813,14.1974031609815
"125",2013-06-13,2013,"900118000002679","900118000002679_2013","Meta","12",2009,"Male",9.87,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-5.3084301289187
"126",2010-07-07,2010,"434F525F1B","434F525F1B_2010","Meta","12",2006,"Male",21.2,89,83.8084301289187,83.2499924996138,84.3586597126768,5.1915698710813,7.9415698710813
"127",2004-07-26,2004,"9241","9241_2004","Meta","11",2000,"Male",17.5,89,83.8084301289187,83.2499924996138,84.3586597126768,5.1915698710813,4.27582112432681
"128",2012-07-18,2012,"900118000002639","900118000002639_2012","Meta","12",2008,"Female",17.89,89,83.8084301289187,83.2499924996138,84.3586597126768,5.1915698710813,3.99952713531304
"129",2010-06-24,2010,"434F525F1B","434F525F1B_2010","Meta","12",2006,"Male",22.5,93,83.8084301289187,83.2499924996138,84.3586597126768,9.1915698710813,7.9415698710813
"130",2013-07-07,2013,"900118000002855","900118000002855_2013","Meta","11",2009,"Male",10.12,72,83.8084301289187,83.2499924996138,84.3586597126768,-11.8084301289187,-11.3084301289187
"131",2013-07-10,2013,"900118000002755","900118000002755_2013","Meta","12",2009,"Male",9.36,75,83.8084301289187,83.2499924996138,84.3586597126768,-8.8084301289187,-9.68355752148205
"132",2011-07-27,2011,"1492","1492_2011","Meta","8",2007,"Female",19.5,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-0.601980680847094
"133",2004-07-28,2004,"2200H","2200H_2004","Meta","9",2000,"Male",27.5,96,83.8084301289187,83.2499924996138,84.3586597126768,12.1915698710813,6.96866144781722
"134",1992-07-06,1992,"284","284_1992","Meta","8",1988,"Female",49.8,102,83.8084301289187,83.2499924996138,84.3586597126768,18.1915698710813,19.3479309705473
"135",2005-07-28,2005,"2310C","2310C_2005","Meta","12",2001,"Male",10.5,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,4.91963557562969
"136",1992-07-21,1992,"646A","646A_1992","Meta","10",1988,"Female",20.5,94,83.8084301289187,83.2499924996138,84.3586597126768,10.1915698710813,5.26046563705214
"137",2010-06-29,2010,"434F525F1B","434F525F1B_2010","Meta","12",2006,"Male",22,92,83.8084301289187,83.2499924996138,84.3586597126768,8.1915698710813,7.9415698710813
"138",2009-07-07,2009,"4369085E5D","4369085E5D_2009","Meta","13",2005,"Female",18.09,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-2.97778145094706
"139",1992-07-06,1992,"609","609_1992","Meta","11",1988,"Male",20.9,84,83.8084301289187,83.2499924996138,84.3586597126768,0.191569871081299,-0.378448796915907
"140",2013-07-22,2013,"900118000002855","900118000002855_2013","Meta","11",2009,"Male",10.24,73,83.8084301289187,83.2499924996138,84.3586597126768,-10.8084301289187,-11.3084301289187
"141",2004-07-06,2004,"9117","9117_2004","Meta","12",2000,"Male",11.3,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,1.42541234096304
"142",2004-08-02,2004,"3204A","3204A_2004","Meta","12",2000,"Male",15.9,84,83.8084301289187,83.2499924996138,84.3586597126768,0.191569871081299,-2.47450044968649
"143",2004-06-29,2004,"9241","9241_2004","Meta","11",2000,"Male",13.5,88,83.8084301289187,83.2499924996138,84.3586597126768,4.1915698710813,4.27582112432681
"144",2004-07-26,2004,"2500F","2500F_2004","Meta","11",2000,"Female",19.1,86,83.8084301289187,83.2499924996138,84.3586597126768,2.1915698710813,4.51764264047486
"145",2004-07-23,2004,"2000G","2000G_2004","Meta","12",2000,"Male",14.9,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,-1.23690384431311
"146",2005-07-11,2005,"2310C","2310C_2005","Meta","12",2001,"Male",11.4,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,4.91963557562969
"147",1992-06-29,1992,"884","884_1992","Meta","1",1988,"Female",23.6,88,83.8084301289187,83.2499924996138,84.3586597126768,4.1915698710813,5.940439408414
"148",2005-08-31,2005,"2310C","2310C_2005","Meta","11",2001,"Male",19.2,83,83.8084301289187,83.2499924996138,84.3586597126768,-0.808430128918701,4.91963557562969
"149",2008-07-10,2008,"435C374075","435C374075_2008","Meta","12",2004,"Male",13.47,87,83.8084301289187,83.2499924996138,84.3586597126768,3.1915698710813,3.6915698710813
"150",1992-07-14,1992,"780","780_1992","Meta","10",1988,"Female",30.9,96,83.8084301289187,83.2499924996138,84.3586597126768,12.1915698710813,9.84999808171422
"151",1995-08-07,1995,"3777","3777_1995","Meta","8",1991,"Female",25.4,87,83.8084301289187,83.2499924996138,84.3586597126768,3.1915698710813,3.24527903747868
"152",1992-06-12,1992,"284","284_1992","Meta","8",1988,"Female",37.2,104,83.8084301289187,83.2499924996138,84.3586597126768,20.1915698710813,19.3479309705473
"153",1992-07-14,1992,"646","646_1992","Meta","10",1988,"Female",20.7,82,83.8084301289187,83.2499924996138,84.3586597126768,-1.8084301289187,-2.5677844775877
"154",1992-07-14,1992,"17A","17A_1992","Meta","6",1988,"Male",15.7,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,-5.13806873865715
"155",2004-06-23,2004,"2000F","2000F_2004","Meta","12",2000,"Male",12.6,80,83.8084301289187,83.2499924996138,84.3586597126768,-3.8084301289187,5.48889189154908
"156",2014-07-08,2014,"982000167211846","982000167211846_2014","Meta","5",2010,"Male",9.27,75,83.8084301289187,83.2499924996138,84.3586597126768,-8.8084301289187,-9.8084301289187
"157",2013-07-11,2013,"900118000002871","900118000002871_2013","Meta","1",2009,"Male",9.91,76,83.8084301289187,83.2499924996138,84.3586597126768,-7.8084301289187,-6.3084301289187
"158",2008-07-21,2008,"435C374075","435C374075_2008","Meta","12",2004,"Male",14.5,88,83.8084301289187,83.2499924996138,84.3586597126768,4.1915698710813,3.6915698710813
"159",2003-07-22,2003,"74C","74C_2003","Meta","12",1999,"Male",10.3,78,83.8084301289187,83.2499924996138,84.3586597126768,-5.8084301289187,-6.22963619229845
"160",2004-07-06,2004,"2404B","2404B_2004","Meta","12",2000,"Female",24.3,91,83.8084301289187,83.2499924996138,84.3586597126768,7.1915698710813,6.29146795703062
"161",2003-07-14,2003,"1009","1009_2003","Meta","8",1999,"Female",20.5,81,83.8084301289187,83.2499924996138,84.3586597126768,-2.8084301289187,-2.8084301289187
"162",2005-07-11,2005,"1770B","1770B_2005","Meta","12",2001,"Female",14.7,83,83.8084301289187,83.2499924996138,84.3586597126768,-0.808430128918701,-0.852916500131675
