,ID,INDIV_ID,DATEOFYEAR,SEASONDAY,RECAPTURE,Pond,MORPH,COHORT,SEX,CLIP,SVL,TOTAL,WEIGHT,CONDITION,CLOACA,GILL,COMMENT,Date_Sample_FS,FS_Density_Pond,log_FS_Density_Pond,SE_Density,lower_density,upper_density,FS_Biomass_Pond_m3,log_FS_Biomass_Pond_m3,SE_Biomass,lower_biomass,upper_biomass,Biomass_Per_FS_Pond,SE_Indiv,lower_indiv,upper_indiv,Week,Hydroperiod,FS_Biomass_Max_Pond,FS_Biomass_Mode_Pond
11,52863,985170001696220,6/14/21,1,yes,8,Meta,NA,Female,NA,86,156,16500,not fat,sw,,,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
12,52118,340C,6/15/21,2,yes,8,Meta,2001,Male,340,96,184,21720,sl fat,sw,,"short 20 toe, nice spots, 4+7",6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
13,52117,9204A,6/15/21,2,yes,8,Meta,NA,Female,9204,94,178,23700,sl fat,sl sw,,,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
14,52339,101B,6/18/21,5,yes,8,Meta,1996,Female,101,100,192,26290,sl fat,sw,,Right front foot is almost normal,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
15,52864,982126054418692,6/14/21,1,yes,8,Meta,2019,Female,NA,67,122,8710,not fat,not sw,,Short 4 toe,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
16,52865,210B,6/14/21,1,yes,8,Meta,2001,Female,210,98,179,23730,not fat,sw,,4+7; cool spots,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
17,52572,627C,6/22/21,9,yes,10,Meta,NA,Female,627,101,186,24890,not fat,sl sw,,Missing 4000 toe; guaran-damn-ty you this is the 1988 - Howard; Amy chytrid swab,6/21/21,13.50574713,2.674544924,0.489863675,2.184681249,3.1644086,9.247112671,2.326995975,0.438121671,1.888874305,2.765117646,0.766320745,0.084091821,0.682228924,0.850412566,25,Semi-permanent,1.202516325,0.7
18,52358,982091066167468,6/20/21,7,no,6,Meta,NA,Female,NA,86,155,15780,not fat,sl sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
19,52357,982126054418822,6/20/21,7,yes,6,Meta,NA,Male,NA,85,161,14650,not fat,very sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
20,52359,8424,6/20/21,7,yes,6,Meta,1999,Male,8424,91,180,18110,not fat,very sw,,Messed up 700 toe,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
21,52363,982091066167534,6/20/21,7,no,6,Meta,NA,Female,NA,65,116,6870,not fat,sl sw,,Infinitesimally small,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
22,52362,985170001727662,6/20/21,7,yes,6,Meta,NA,Female,NA,88,153,15990,not fat,sl sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
23,52361,985170001801648,6/20/21,7,no,6,Meta,NA,Female,NA,87,162,18430,not fat,sl sw,,Lots of really cool spots,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
24,52360,985170001706051,6/20/21,7,no,6,Meta,NA,Female,NA,82,152,15520,not fat,sl sw,,Short 40 toe,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
25,52122,985170001972439,6/15/21,2,yes,6,Meta,NA,Male,NA,83,162,12190,not fat,sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
26,52121,982000167212734,6/15/21,2,yes,6,Meta,2014,Female,NA,86,157,16280,not fat,not sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
27,52120,982126054418822,6/15/21,2,yes,6,Meta,NA,Male,NA,87,165,14040,not fat,sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
28,52119,985170001889645,6/15/21,2,yes,6,Meta,NA,Female,NA,84,153,13270,not fat,sl sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
29,52364,985170001972439,6/20/21,7,yes,6,Meta,NA,Male,NA,86,163,12340,not fat,sw,,,6/21/21,2.386083744,1.219674016,0.374276208,0.845397808,1.593950224,1.892118331,1.06198922,0.377991211,0.683998009,1.439980431,0.516879732,0.218228955,0.298650777,0.735108687,25,Semi-permanent,1.061944491,1.1
30,52697,24B,6/25/21,12,yes,10,Meta,1998,Male,24,97,194,24860,not fat,very sw,,"4000+7000; dark tail tip, dark spot center of back of head and back between rear legs",6/24/21,15.8045977,2.821652522,0.690381617,2.131270905,3.512034138,17.07245982,2.894389223,0.699824726,2.194564497,3.594213948,0.979064337,0.265802277,0.71326206,1.244866615,25,Semi-permanent,1.862806088,1.1
31,52698,627C,6/25/21,12,yes,10,Meta,NA,Female,627,101,185,25920,sl fat,sl sw,,Missing 4000 toe; 95 percent sure shes the 88; injury on left side of tail,6/24/21,15.8045977,2.821652522,0.690381617,2.131270905,3.512034138,17.07245982,2.894389223,0.699824726,2.194564497,3.594213948,0.979064337,0.265802277,0.71326206,1.244866615,25,Semi-permanent,1.862806088,1.1
32,52636,900118000002982,6/24/21,11,yes,8,Meta,2011,Female,NA,90,161,18230,not fat,sl sw,,1+10,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
33,52622,435C4D7947,6/24/21,11,yes,8,Meta,NA,Male,NA,98,180,20080,not fat,sw,,Amy chytrid swab; club foot,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
34,52634,3901B,6/24/21,11,yes,8,Meta,1999,Female,3901,100,180,24060,not fat,sl sw,,Amy chytrid swab,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
35,52633,985170001696220,6/24/21,11,yes,8,Meta,NA,Female,NA,88,155,19690,sl fat,sl sw,,Amy chytrid swab,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
36,52635,434D432441,6/24/21,11,yes,8,Meta,2008,Male,NA,95,186,27210,sl fat,very sw,,1+7; Amy chytrid swab,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
37,52624,1492,6/24/21,11,yes,8,Meta,2007,Male,1492,96,194,26280,not fat,sw,,Amy chytrid swab,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
38,52623,4359014750,6/24/21,11,yes,8,Meta,NA,Female,NA,100,187,27350,not fat,sw,,Laying; yellow on head; Amy chytrid swab; Howard pities her offspring,6/24/21,12.39224138,2.594675538,0.312586377,2.282089161,2.907261914,14.09350473,2.714264501,0.329025051,2.385239449,3.043289552,1.152797603,0.081868843,1.07092876,1.234666446,25,Semi-permanent,1.815389589,1.1
39,52702,985170001764252,6/25/21,12,yes,11,Meta,NA,Female,NA,101,182,24590,not fat,sl sw,,,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
40,52701,900118000003072,6/25/21,12,yes,11,Meta,2010,Male,NA,99,196,22500,not fat,sw,,10 clip,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
41,52700,9812,6/25/21,12,yes,11,Meta,NA,Female,9812,95,168,21750,not fat,sw,,Lots o spots,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
42,52699,900118000002890,6/25/21,12,yes,11,Meta,2009,Female,NA,97,181,24400,not fat,sw,,2+7,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
43,52573,1370,6/22/21,9,yes,11,Meta,2001,Female,1370,93,167,18450,not fat,sl sw,,4+7; lots o spots; damage is healed; Amy chytrid swab,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
44,52625,982000365435107,6/24/21,11,yes,11,Meta,2014,Male,NA,95,186,18520,not fat,sw,,Amy chytrid swab,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
45,52574,9812,6/22/21,9,yes,11,Meta,NA,Female,9812,93,167,21460,not fat,sl sw,,Amy chytrid swab,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
46,52575,985170001764252,6/22/21,9,yes,11,Meta,NA,Female,NA,102,183,23920,not fat,sl sw,,Amy chytrid swab,6/25/21,138.5742706,4.938596865,0.381052671,4.557544194,5.319649536,278.7978414,5.634067347,0.357186415,5.276880932,5.991253762,2.052265981,0.125454551,1.92681143,2.177720531,26,Semi-permanent,3.538030418,1.9
47,52626,982000167201639,6/24/21,11,yes,13,Meta,2010,Female,NA,83,146,18070,sl fat,sw,,10 clip; injured 2 toe; Amy chytrid swab,6/25/21,985.5235043,6.894187151,0.617125755,6.277061396,7.511312906,1749.299974,7.467542466,0.590521654,6.877020812,8.05806412,1.837308464,0.049079471,1.788228993,1.886387935,26,Temporary,3.44521162,1.8
48,53081,985170001730506,7/2/21,19,yes,51,Meta,NA,Female,NA,92,167,33580,very fat,sw,,,6/29/21,832.6543064,6.725818816,0.513203341,6.212615474,7.239022157,1301.544676,7.172075074,0.52005998,6.652015093,7.692135054,1.545797384,0.018123086,1.527674299,1.56392047,26,Semi-permanent,4.198012103,1.7
49,53080,982000167212269,7/2/21,19,yes,51,Meta,NA,Female,NA,94,175,37030,very fat,not sw,,,6/29/21,832.6543064,6.725818816,0.513203341,6.212615474,7.239022157,1301.544676,7.172075074,0.52005998,6.652015093,7.692135054,1.545797384,0.018123086,1.527674299,1.56392047,26,Semi-permanent,4.198012103,1.7
50,52947,982091066164622,6/30/21,17,no,8,Meta,NA,Female,NA,95,182,25150,sl fat,sl sw,,red swollen 20 toe,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
51,52946,985170001932143,6/30/21,17,yes,8,Meta,NA,Male,NA,83,146,9490,not fat,sw,,"fused 40 and 70 toes, look like recent metamorph; was lethargic but seems fine now",6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
52,52945,435C33424D,6/30/21,17,yes,8,Meta,NA,Male,NA,93,179,22360,sl fat,sw,,Forked 1000 toe,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
53,52944,900118000002866,6/30/21,17,yes,8,Meta,2009,Female,NA,91,172,23500,sl fat,sl sw,,"2+7, still looks like an oreo blizzard",6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
54,52943,985170001801648,6/30/21,17,yes,8,Meta,NA,Female,NA,87,159,18100,not fat,sw,,"scars on front right shoulder, rear right leg; slight buldge on left side",6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
55,52942,985170001717943,6/30/21,17,yes,8,Meta,NA,Female,NA,91,153,20940,not fat,sl sw,,"clubby right forelimb, scar on left side",6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
56,52941,3001B,6/30/21,17,yes,8,Meta,1999,Female,3001,98,179,26520,sl fat,sw,,400+700,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
57,52940,3100,6/30/21,17,yes,8,Meta,2001,Male,3100,102,192,28010,sl fat,sw,,4+7,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
58,52939,210B,6/30/21,17,yes,8,Meta,2001,Female,210,95,179,33160,fat,sl sw,,4+7,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
59,52938,435C4D7947,6/30/21,17,yes,8,Meta,NA,Male,NA,99,180,21970,sl fat,sw,,front left club foot,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
60,52937,4359014750,6/30/21,17,yes,8,Meta,NA,Female,NA,102,189,29200,sl fat,sl sw,,buldge behind right front limb,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
61,52936,8717,6/30/21,17,yes,8,Meta,NA,Male,8717,95,172,24230,sl fat,sw,,,6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
62,52935,101B,6/30/21,17,yes,8,Meta,1996,Female,101,100,193,30460,sl fat,sw,,"right front foot is asymetrical, short 20 and 40 toes",6/29/21,33.94396552,3.553745793,0.291789349,3.261956444,3.845535142,55.53821949,4.034916861,0.267737117,3.767179744,4.302653978,1.803408461,0.102015996,1.701392466,1.905424457,26,Semi-permanent,3.563580757,1.6
63,53046,900118000002907,7/2/21,19,yes,15,Meta,2012,Female,NA,91,172,24040,sl fat,sw,,"Laying; left eye is sunken, big pupil",6/30/21,1136.232483,7.036352943,0.569829873,6.466523071,7.606182816,1363.060186,7.218220962,0.572860868,6.645360094,7.79108183,1.195501574,0.014657839,1.180843735,1.210159413,26,Temporary,2.457007359,1.2
64,53053,982000167208175,7/2/21,19,yes,52,Meta,NA,Female,NA,96,181,42270,fat,not sw,,,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
65,53052,982000365435014,7/2/21,19,yes,52,Meta,2015,Male,NA,85,161,23640,sl fat,sw,,Must not have been mature last year,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
66,53051,2304A,7/2/21,19,yes,52,Meta,2000,Female,2304,105,211,52000,very fat,sl sw,,40+70; can now legally drink; wart on back,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
67,53050,122A,7/2/21,19,yes,52,Meta,1998,Female,122,99,185,42000,fat,sl sw,,4000+7000; weird 10 toe,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
68,53049,597,7/2/21,19,yes,52,Meta,NA,Male,597,106,208,45550,fat,sl sw,,7000 toe looks clipped. Small spot on left eye,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
69,53048,702D,7/2/21,19,yes,52,Meta,NA,Male,702,101,191,36460,fat,sw,,"May be one of the other 702 animals. Dark spot between shoulders, small yellow spot behind left eye.",6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
70,53047,4358642219,7/2/21,19,yes,52,Meta,2001,Female,NA,86,162,25700,fat,sw,,4+7,6/30/21,728.4482759,6.592288462,0.861603636,5.730684826,7.453892098,765.8881281,6.642340934,0.885144381,5.757196554,7.527485315,1.006231887,0.061708994,0.944522893,1.067940882,26,Semi-permanent,2.220274514,1
71,53045,985170001703468,7/2/21,19,Yes,55,Meta,NA,Female,NA,94,175,31200,sl fat,sl sw,,Leeches on tail,6/30/21,1.61637931,0.961791419,0.287260786,0.674530634,1.249052205,1.480184388,0.908332907,0.27765278,0.630680127,1.185985687,0.686805556,0.244984733,0.441820823,0.931790289,26,Semi-permanent,1.142394566,1.1
72,52934,8424,6/30/21,17,yes,6,Meta,1999,Male,8424,91,177,17380,not fat,sw,,Short 700 toe,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
73,52933,985170001727662,6/30/21,17,yes,6,Meta,NA,Female,NA,86,151,17120,not fat,sw,,,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
74,52932,985170001706051,6/30/21,17,yes,6,Meta,NA,Female,NA,83,154,14710,not fat,sw,,mark on left side of neck; short 40 toe,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
75,52786,985170001889645,6/28/21,15,yes,6,Meta,NA,Female,NA,84,154,12790,thin,sl sw,,,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
76,52785,982000167208635,6/28/21,15,yes,6,Meta,2014,Female,NA,74,133,12570,not fat,not sw,,,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
77,52784,985170001795369,6/28/21,15,no,6,Meta,NA,Male,NA,94,180,18970,not fat,sw,,,6/30/21,4.849137931,1.766294288,0.685903547,1.080390741,2.452197836,5.047873397,1.799706706,0.691282039,1.108424667,2.490988745,0.842490469,0.592334163,0.250156306,1.434824632,26,Semi-permanent,2.512977426,0.6
78,53407,900118000003072,7/7/21,24,yes,10,Meta,2010,Male,NA,99,196,23810,not fat,sl sw,,10 clip,7/6/21,21.98275862,3.13474431,0.258767647,2.875976663,3.393511956,58.81599217,4.091273053,0.294281193,3.796991859,4.385554246,2.614607735,0.090610944,2.523996791,2.705218679,27,Semi-permanent,4.188677942,3
